OrderID,Date,Product,Category,Region,Sales,Quantity,Customer
1001,2024-01-05,Laptop,Electronics,North,75000,1,Amit
1002,2024-01-06,Headphones,Electronics,West,2000,2,Riya
1003,2024-01-07,Shoes,Fashion,South,3500,1,Karan
1004,2024-01-08,Watch,Accessories,East,5000,1,Neha
1005,2024-01-09,Phone,Electronics,North,30000,1,Rohit
1006,2024-01-10,T-shirt,Fashion,West,1200,3,Anjali
1007,2024-01-11,Laptop,Electronics,South,72000,1,Arjun
1008,2024-01-12,Shoes,Fashion,East,4000,2,Pooja
1009,2024-01-13,Watch,Accessories,North,5500,1,Manish
1010,2024-01-14,Phone,Electronics,West,28000,1,Sneha
1011,2024-02-01,Laptop,Electronics,East,76000,1,Amit
1012,2024-02-03,Shoes,Fashion,North,3200,1,Riya
1013,2024-02-05,Watch,Accessories,South,4800,1,Karan
1014,2024-02-06,Phone,Electronics,East,31000,1,Neha
1015,2024-02-07,T-shirt,Fashion,West,1500,2,Rohit
1016,2024-02-08,Laptop,Electronics,North,80000,1,Anjali
1017,2024-02-09,Shoes,Fashion,South,3700,1,Arjun
1018,2024-02-10,Watch,Accessories,West,5200,1,Pooja
1019,2024-02-11,Phone,Electronics,North,29000,1,Manish
1020,2024-02-12,T-shirt,Fashion,East,1300,2,Sneha
1021,2024-03-01,Laptop,Electronics,South,78000,1,Amit
1022,2024-03-02,Shoes,Fashion,West,3600,1,Riya
1023,2024-03-03,Watch,Accessories,North,5400,1,Karan
1024,2024-03-04,Phone,Electronics,South,32000,1,Neha
1025,2024-03-05,T-shirt,Fashion,North,1400,3,Rohit
1026,2024-03-06,Laptop,Electronics,West,79000,1,Anjali
1027,2024-03-07,Shoes,Fashion,East,3800,1,Arjun
1028,2024-03-08,Watch,Accessories,South,5100,1,Pooja
1029,2024-03-09,Phone,Electronics,West,30000,1,Manish
1030,2024-03-10,T-shirt,Fashion,North,1600,2,Sneha
